"id","sender_name","experience_text","published_date"
1,شکوفه ، خانه‌دار,"«تنها زندگی می‌کنم (خونواده‌م فوت شدن)
یه تلویزیون بود که تنهایی‌هامو باهاش پر می‌کردم، یه اینترنت...
تلویزیون که به خاطر پارازیت غیر قابل نگاه کردن شده (حتی کانال‌های جم) اینترنت هم که ۷۱ روزه قطعه و من هر روز تا شب، فقط زل می‌زنم به سقف! ضمن اینکه یه کسب و کار کوچیک خونگی داشتم که خب صد البته نابود شد!!!»",2026-05-10 00:00:00.000 +0330
2,ناشناس ، دانشجوی فلک زده,«من کنکور ارشد دارم و درسامو با کمک هوش مصنوعی و اینترنت میتونم بفهمم و بخونم که چندماهه از ما گرفتنش»,2026-05-10 00:00:00.000 +0330
3,انسان بی هویت (ایرانی) ، دانشجو,«تنها تفریح من و بقیه افرادی که باهاشون ارتباط داشتم گردش توی اینستاگرام توییتر و تلگرام و یوتیوب و خیلی چیزای دیگه بود که قابل نام بردن نیست اینقدر ک زیاد هستن و بازی کردن انلاین میتونست حال مارو بهتر کنه ک مطمئنم خیلی های دیگه هم همین رویه رو داشتن این متنی ک من مینویسم کف ترین حالت ممکن استفاده از اینترنت با کمال احترام به اون افرادی که نان اور خانه بودن»,2026-05-10 00:00:00.000 +0330
4,به جبر جهان مجبور ، دانشجو، بدبخت تمام وقت,«من با هزار بدبختی و بی‌پولی کلاس ایتالیایی ثبت نام کردم، داخل فضای ادوبی‌ کانکت‌ برگزار میشه که به خاطر اینترنت به زور بالا میاد. فکر می‌کردم اگر ایتالیایی یاد بگیرم، می‌تونم کارهای مهاجرت رو راحت‌تر بکنم ولی انگار نحسی ایام قرار نیست بختکی که روم انداخته رو برداره. خسته شدم کاش به جای ذره ذره آب شدن، یک‌جا می‌مردم.»,2026-05-10 00:00:00.000 +0330
5,بی نام ، گیمر,«دیگه هر کسی مشکلات خودش رو داره ..کسی برا پول کسی برای اجاره خونه و... منم تو سن 19 سالگی شغل شرکتی دارم ن اضافه کار میزارن نه چیزی ..تنها چیزی که منو سر پا نگه میداشت گیم زدن پاپجی به رفیقام بود اونم هر شب که دیگا اونم ندارم ..الان به دو ماه که بدون گیم زدن حتا توان بیدار شدن برا سر کار رو ندارم ....نمیدونم تا کی دوم بیارم..جدی میگم واقعا با پاپجی و رفیقام زنده بودم 😔»,2026-05-10 00:00:00.000 +0330
6,ناشناس,"«من یه دانش اموز کنکوری هستم که دوره هایی که برای کنکور گرفته بودم تو تلگرام بوده
کل درس و زندگیم به چت جی بی تی وصل بوده 
و الان همه دود شد رفته هوا»",2026-05-10 00:00:00.000 +0330
7,وزغ کبود ، دانش آموز,«من اونقدر نیازی به اینترنت ندارم، اما دلم برای تلگرام و اینترنت تنگ شده. دلم برای اون چند دقیقه ای که اینترنت باعث میشد فکرکنم من هم مثل بقیه ادمهای جهان زندگی خوبی دارم تنگ شده.»,2026-05-09 00:00:00.000 +0330
8,Legend ، برنامه‌نویس، طراح,"«من یه برنامه نویس و طراح هستم که تقریبا کل زندگی و کارم با اینترنت هستش
تو این مدت خیلی از دوست ها و همکارام رو دیدم که تو شرکت های مختلف بودن و تعدیل شدن، کسانی که با کلی تلاش و زحمت تونسته بودن به اون موقعیت شغلی برسن
خوشبختانه شرکت ما هنوز دست به تعدیل نزده، اما با این وضعیت اصلا نمیتونیم کار کنیم، حتی ساده ترین ابزارها و منابع مورد نیازمون هم بالا نمیاد
ذره‌ای آرامش روان نمونده برامون»",2026-05-09 00:00:00.000 +0330
9,Nobody ، دانش‌آموز,«من خیلی به فشن و مد و طراحی لباس علاقه داشتم و داشتم یواش یواش تو یوتیوب یاد می‌گرفتم ولی از وقتی که اینترنت بین‌المللی قطع شد عملا زندگی منم قطع شد»,2026-05-09 00:00:00.000 +0330
10,Nerfmyxim the champion ، Gamer,«سلام من یک گیمر هستم .و علاقه زیادی به گیم های شوتر دارم مقام دار ۳ دوره قهرمانی R6 یا همان رنبو سیکس دارم تنها سرگرمی من تو این دنیا بازی کردن بود خطاب به کسانی که میگن گیم نزنی نمیمیری یا چیزی نشده باید بگم قبل از قطعی نت هم ما درست حسابی نمیتونستیم بازی کنیم خیلی از گیمر های دیگه از یوتیوب رو اوردن به اپارات کسایی که یا چشم بسته بازی میکنند استعداد خاص دارن و کاری کردن رعیس های کمپانی های مختلف برق از سرشون بپره این فقط جز کوچکی از قطعی اینترنت هستش»,2026-05-09 00:00:00.000 +0330
